House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Age Group,Occupation Status,Disability Status,Religion Category
51,Sagittarius Avenue,Martin,Fisher,78,Husband,Married,Male,Retired Clothing/textile technologist,Healthy,No Religion,Senior,Retired,Non-disabled,Non-religious
52,Sagittarius Avenue,Peter,Ali,38,Head,Married,Male,English as a second language teacher,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
52,Sagittarius Avenue,Rebecca,Ali,36,Wife,Married,Female,Early years teacher,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
52,Sagittarius Avenue,Cameron,Ali,2,Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
53,Sagittarius Avenue,Alice,Chambers,65,Head,Widowed,Female,Software engineer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
53,Sagittarius Avenue,June,Chambers,34,Daughter,Single,Female,Hospital pharmacist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
53,Sagittarius Avenue,Lynne,Chambers,31,Daughter,Single,Female,Graphic designer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
53,Sagittarius Avenue,Katie,Chambers,27,Daughter,Single,Female,"Exhibitions officer, museum/gallery",Healthy,Muslim,Adult,Employed,Non-disabled,Religious
54,Sagittarius Avenue,Eric,Cross,39,Head,Single,Male,Multimedia specialist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
54,Sagittarius Avenue,Josephine,Taylor,37,Partner,Single,Female,"Social research officer, government",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
55,Sagittarius Avenue,Gillian,Austin,71,Head,Widowed,Female,Retired Forest/woodland manager,Healthy,Muslim,Senior,Retired,Non-disabled,Religious
55,Sagittarius Avenue,Christine,Austin,40,Daughter,Single,Female,"Engineer, chemical",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
55,Sagittarius Avenue,Russell,Austin,39,Son,Single,Male,Training and development officer,Healthy,Muslim,Adult,Employed,Non-disabled,Religious
55,Sagittarius Avenue,Jemma,Austin,37,Daughter,Single,Female,Consulting civil engineer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
56,Sagittarius Avenue,Mathew,Hill,71,Head,Widowed,Male,"Retired Teacher, adult education",Healthy,Catholic,Senior,Retired,Non-disabled,Religious
57,Sagittarius Avenue,Maria,Bailey,37,Head,Married,Female,Television production assistant,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
57,Sagittarius Avenue,Stuart,Bailey,44,Husband,Married,Male,"Scientist, biomedical",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
57,Sagittarius Avenue,Gemma,Bailey,9,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
58,Sagittarius Avenue,Marie,Sykes,44,Head,Single,Female,Systems analyst,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
58,Sagittarius Avenue,Mohammad,Cooper,48,Partner,Single,Male,Regulatory affairs officer,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
58,Sagittarius Avenue,Charlotte,Sykes,10,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
59,Sagittarius Avenue,Tracy,Thomas,20,Head,Single,Female,University Student,Healthy,Christian,Adult,University Student,Non-disabled,Religious
59,Sagittarius Avenue,Sara,Walker,20,Unknown,Single,Female,University Student,Healthy,Christian,Adult,University Student,Non-disabled,Religious
59,Sagittarius Avenue,Antony,Davies,19,Unknown,Single,Male,University Student,Healthy,Christian,Adult,University Student,Non-disabled,Religious
59,Sagittarius Avenue,Connor,Wyatt,21,Unknown,Single,Male,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
59,Sagittarius Avenue,Brandon,Robinson,20,Unknown,Single,Male,University Student,Healthy,Methodist,Adult,University Student,Non-disabled,Religious
60,Sagittarius Avenue,Catherine,Clark,69,Head,Single,Female,Retired Hydrographic surveyor,Healthy,Christian,Adult,Retired,Non-disabled,Religious
60,Sagittarius Avenue,Francis,Clark,45,Son,Single,Male,Medical technical officer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
60,Sagittarius Avenue,Martyn,Clark,41,Son,Single,Male,Water engineer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
60,Sagittarius Avenue,Lee,Clark,37,Son,Single,Male,Broadcast journalist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
60,Sagittarius Avenue,Nigel,Clark,34,Son,Single,Male,Furniture conservator/restorer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
60,Sagittarius Avenue,Malcolm,Clark,30,Son,Single,Male,Travel agency manager,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
62,Sagittarius Avenue,Leanne,Williamson,25,Head,Single,Female,Advertising copywriter,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
62,Sagittarius Avenue,Conor,Taylor,44,Unknown,Single,Male,Astronomer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
62,Sagittarius Avenue,Lynda,Bull,22,Unknown,Single,Female,University Student,Healthy,Christian,Adult,University Student,Non-disabled,Religious
62,Sagittarius Avenue,Nicholas,Carpenter,55,Unknown,Single,Male,Mental health nurse,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
62,Sagittarius Avenue,Valerie,Carter,47,Unknown,Divorced,Female,Child psychotherapist,Healthy,Christian,Adult,Employed,Non-disabled,Religious
63,Sagittarius Avenue,Danny,Griffiths,20,Head,Single,Male,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
63,Sagittarius Avenue,Angela,White,19,Partner,Single,Female,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
63,Sagittarius Avenue,Colin,Griffiths,2,Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
64,Sagittarius Avenue,Dean,Hunt,33,Head,Single,Male,Waste management officer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
64,Sagittarius Avenue,Alex,Bevan,64,Unknown,Single,Male,Technical sales engineer,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
64,Sagittarius Avenue,Maureen,Thornton,26,Unknown,Divorced,Female,Interpreter,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
64,Sagittarius Avenue,Molly,Thompson,21,Unknown,Single,Female,University Student,Healthy,Sikh,Adult,University Student,Non-disabled,Religious
64,Sagittarius Avenue,Christopher,Hamilton,27,Unknown,Single,Male,Information officer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
65,Sagittarius Avenue,Lauren,Flynn,54,Head,Married,Female,"Designer, industrial/product",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
65,Sagittarius Avenue,Phillip,Flynn,55,Husband,Married,Male,Amenity horticulturist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
65,Sagittarius Avenue,Harry,Flynn,21,Son,Single,Male,Tourist information centre manager,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
65,Sagittarius Avenue,Emily,Flynn,8,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
66,Sagittarius Avenue,Caroline,Cameron,60,Head,Married,Female,Horticultural consultant,Healthy,Christian,Adult,Employed,Non-disabled,Religious
66,Sagittarius Avenue,Philip,Cameron,61,Husband,Married,Male,"Engineer, civil (consulting)",Healthy,Christian,Adult,Employed,Non-disabled,Religious
66,Sagittarius Avenue,Geraldine,Cameron,15,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
67,Sagittarius Avenue,Amy,Smith,56,Head,Single,Female,Media planner,Healthy,Christian,Adult,Employed,Non-disabled,Religious
67,Sagittarius Avenue,Charles,Smith,26,Son,Divorced,Male,Chartered legal executive (England and Wales),Healthy,Christian,Adult,Employed,Non-disabled,Religious
67,Sagittarius Avenue,Katy,Smith,24,Daughter,Divorced,Female,Microbiologist,Healthy,Christian,Adult,Employed,Non-disabled,Religious
67,Sagittarius Avenue,Linda,Dawson,20,Daughter,Single,Female,University Student,Healthy,Christian,Adult,University Student,Non-disabled,Religious
68,Sagittarius Avenue,Glen,Scott,20,Head,Single,Male,University Student,Healthy,Christian,Adult,University Student,Non-disabled,Religious
68,Sagittarius Avenue,Barry,O'Sullivan,19,Unknown,Single,Male,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
68,Sagittarius Avenue,Christian,Bibi,24,Unknown,Single,Male,PhD Student,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
69,Sagittarius Avenue,Jodie,Jones,38,Head,Married,Female,"Engineer, maintenance (IT)",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
69,Sagittarius Avenue,Dale,Jones,40,Husband,Married,Male,"Surveyor, quantity",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
69,Sagittarius Avenue,Roy,Jones,21,Son,Widowed,Male,University Student,Healthy,Catholic,Adult,University Student,Non-disabled,Religious
69,Sagittarius Avenue,Grace,Jones,18,Daughter,Divorced,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
69,Sagittarius Avenue,Ross,Jones,16,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
69,Sagittarius Avenue,Naomi,James-Jones,13,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
70,Sagittarius Avenue,Francesca,Rose,48,Head,Married,Female,Technical brewer,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
70,Sagittarius Avenue,Clifford,Rose,50,Husband,Married,Male,"Therapist, speech and language",Healthy,Methodist,Adult,Employed,Non-disabled,Religious
70,Sagittarius Avenue,Diane,Rose,21,Daughter,Single,Female,Clinical cytogeneticist,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
70,Sagittarius Avenue,Linda,Rose,20,Daughter,Single,Female,Environmental manager,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
70,Sagittarius Avenue,Julie,Rose,14,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
70,Sagittarius Avenue,Louise,Rose,7,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
71,Sagittarius Avenue,Ashley,Porter,32,Head,Single,Male,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
71,Sagittarius Avenue,Danielle,Jones,28,Partner,Single,Female,"Engineer, civil (contracting)",Disabled,No Religion,Adult,Employed,Disabled,Non-religious
71,Sagittarius Avenue,Stuart,Porter,5,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
71,Sagittarius Avenue,Dylan,Porter,1,Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
72,Sagittarius Avenue,June,Yates,47,Head,Single,Female,Management consultant,Healthy,Christian,Adult,Employed,Non-disabled,Religious
72,Sagittarius Avenue,June,Yates,8,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
72,Sagittarius Avenue,Louis,Yates,5,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
72,Sagittarius Avenue,Christine,Yates,0,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
73,Sagittarius Avenue,Vincent,Coates,55,Head,Divorced,Male,Holiday representative,Healthy,Christian,Adult,Employed,Non-disabled,Religious
73,Sagittarius Avenue,Cameron,Coates,26,Son,Single,Male,Contractor,Healthy,Christian,Adult,Employed,Non-disabled,Religious
74,Sagittarius Avenue,Frank,Fraser,59,Head,Divorced,Male,Unemployed,Healthy,Christian,Adult,Unemployed,Non-disabled,Religious
74,Sagittarius Avenue,Joanna,Fraser,43,Daughter,Divorced,Female,Broadcast engineer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
74,Sagittarius Avenue,Diana,Fraser,41,Daughter,Single,Female,Land/geomatics surveyor,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
74,Sagittarius Avenue,Francesca,Fraser,40,Daughter,Widowed,Female,Medical laboratory scientific officer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
74,Sagittarius Avenue,Jack,Fraser,37,Son,Divorced,Male,"Designer, jewellery",Healthy,Christian,Adult,Employed,Non-disabled,Religious
74,Sagittarius Avenue,Dorothy,Fraser,37,Daughter,Single,Female,"Engineer, chemical",Healthy,Christian,Adult,Employed,Non-disabled,Religious
74,Sagittarius Avenue,Barbara,Fraser,31,Daughter,Single,Female,Chartered legal executive (England and Wales),Healthy,Christian,Adult,Employed,Non-disabled,Religious
75,Sagittarius Avenue,Barbara,Richards,39,Head,Married,Female,Osteopath,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
75,Sagittarius Avenue,Joshua,Richards,45,Husband,Married,Male,Retail buyer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
75,Sagittarius Avenue,Harry,Richards,0,Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
75,Sagittarius Avenue,Sharon,Shaw,40,Lodger,Divorced,Female,Arts administrator,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
76,Sagittarius Avenue,Conor,Sutton,55,Head,Single,Male,"Engineer, petroleum",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
76,Sagittarius Avenue,Jeffrey,Reid,30,Son,Single,Male,Dealer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
77,Sagittarius Avenue,Nicole,Burns,31,Head,Married,Female,Call centre manager,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
77,Sagittarius Avenue,Keith,Burns,33,Husband,Married,Male,Careers information officer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
78,Sagittarius Avenue,Alice,Warren,42,Head,Single,Female,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
78,Sagittarius Avenue,Sally,Warren,16,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
78,Sagittarius Avenue,Nigel,Warren,15,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
78,Sagittarius Avenue,Barbara,Warren,13,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
78,Sagittarius Avenue,Victoria,Warren,9,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
78,Sagittarius Avenue,Guy,Warren,8,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
78,Sagittarius Avenue,Maria,Warren,7,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
79,Sagittarius Avenue,Brian,Davis,47,Head,Married,Male,Psychotherapist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
79,Sagittarius Avenue,Bethany,Davis,44,Wife,Married,Female,"Engineer, civil (consulting)",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
79,Sagittarius Avenue,Hugh,Davis,6,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
79,Sagittarius Avenue,Heather,Davis,6,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
79,Sagittarius Avenue,Martin,Davis,5,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
79,Sagittarius Avenue,Garry,Marshall-Davis,2,Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
80,Sagittarius Avenue,Jodie,Read,38,Head,Single,Female,Music therapist,Healthy,Christian,Adult,Employed,Non-disabled,Religious
80,Sagittarius Avenue,Jacob,Miller,35,Partner,Single,Male,Oceanographer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
80,Sagittarius Avenue,Donna,Read,20,Adopted Daughter,Single,Female,University Student,Healthy,Christian,Adult,University Student,Non-disabled,Religious
80,Sagittarius Avenue,Georgina,Read,19,Daughter,Widowed,Female,University Student,Healthy,Christian,Adult,University Student,Non-disabled,Religious
80,Sagittarius Avenue,Hazel,Read,15,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
80,Sagittarius Avenue,Rachael,Read,8,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
81,Sagittarius Avenue,Henry,Thompson,58,Head,Single,Male,Trade union research officer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
81,Sagittarius Avenue,Eileen,Palmer,55,Unknown,Single,Female,Art therapist,Healthy,Christian,Adult,Employed,Non-disabled,Religious
81,Sagittarius Avenue,Graeme,Heath,44,Unknown,Single,Male,Information officer,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
81,Sagittarius Avenue,Graham,Jones,60,Unknown,Single,Male,Health service manager,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
81,Sagittarius Avenue,Josh,Morton,33,Unknown,Single,Male,Operational researcher,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
82,Sagittarius Avenue,Tina,Long,23,Head,Married,Female,"Engineer, petroleum",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
82,Sagittarius Avenue,Dean,Long,30,Husband,Married,Male,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
83,Sagittarius Avenue,Frederick,Bryan,58,Head,Single,Male,"Programme researcher, broadcasting/film/video",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
83,Sagittarius Avenue,Julie,Mills,25,Unknown,Single,Female,Chartered accountant,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
83,Sagittarius Avenue,Sam,Thomas,62,Unknown,Single,Male,Sport and exercise psychologist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
83,Sagittarius Avenue,Shirley,Taylor,36,Unknown,Single,Female,"Designer, multimedia",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
84,Sagittarius Avenue,Frederick,Nelson,76,Head,Widowed,Male,Retired Tax inspector,Healthy,Catholic,Senior,Retired,Non-disabled,Religious
84,Sagittarius Avenue,Chelsea,Nelson,42,Daughter,Widowed,Female,Herbalist,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
85,Sagittarius Avenue,Lisa,Wilson,34,Head,Single,Female,Unemployed,Healthy,Catholic,Adult,Unemployed,Non-disabled,Religious
85,Sagittarius Avenue,Martin,Conway,58,Lodger,Single,Male,Recruitment consultant,Healthy,Christian,Adult,Employed,Non-disabled,Religious
85,Sagittarius Avenue,Melissa,Bates,35,Lodger,Single,Female,"Engineer, communications",Healthy,Muslim,Adult,Employed,Non-disabled,Religious
85,Sagittarius Avenue,Sally,Stone,33,Lodger,Single,Female,"Surveyor, land/geomatics",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
86,Sagittarius Avenue,Maurice,Chapman,38,Head,Married,Male,"Doctor, general practice",Healthy,Christian,Adult,Employed,Non-disabled,Religious
86,Sagittarius Avenue,Holly,Chapman,39,Wife,Married,Female,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
86,Sagittarius Avenue,Ashleigh,Chapman,14,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
86,Sagittarius Avenue,Mary,Chapman,11,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
87,Sagittarius Avenue,Olivia,Wilkinson,43,Head,Divorced,Female,"Programmer, systems",Healthy,Methodist,Adult,Employed,Non-disabled,Religious
87,Sagittarius Avenue,Christian,Wilkinson,11,Step-Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
87,Sagittarius Avenue,Emily,Wilkinson,9,Step-Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
87,Sagittarius Avenue,Cameron,Wilkinson,2,Step-Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
88,Sagittarius Avenue,Hayley,Smith,34,Head,Married,Female,Sports development officer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
88,Sagittarius Avenue,Connor,Smith,35,Husband,Married,Male,Hotel manager,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
89,Sagittarius Avenue,Laura,Vaughan-Buckley,28,Head,Single,Female,Community arts worker,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
89,Sagittarius Avenue,Elliot,Cameron,25,Partner,Single,Male,Financial planner,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
89,Sagittarius Avenue,Glenn,Vaughan-Buckley,7,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
89,Sagittarius Avenue,Marion,Vaughan-Buckley,4,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
89,Sagittarius Avenue,Jasmine,Vaughan-Buckley,3,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
89,Sagittarius Avenue,Joyce,Vaughan-Buckley,0,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
90,Sagittarius Avenue,Carolyn,Watson,25,Head,Single,Female,Metallurgist,Healthy,Agnostic,Adult,Employed,Non-disabled,Non-religious
90,Sagittarius Avenue,Joseph,Gray,21,Unknown,Single,Male,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
90,Sagittarius Avenue,Diane,Brown,54,Unknown,Single,Female,Market researcher,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
90,Sagittarius Avenue,Louise,Shaw,39,Unknown,Single,Female,"Designer, multimedia",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
91,Sagittarius Avenue,Jacob,Thomas,84,Head,Divorced,Male,Retired Retail merchandiser,Healthy,Catholic,Senior,Retired,Non-disabled,Religious
92,Sagittarius Avenue,Donna,Barton,56,Head,Married,Female,"Clinical scientist, histocompatibility and immunogenetics",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
92,Sagittarius Avenue,Dylan,Barton,59,Husband,Married,Male,Midwife,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
92,Sagittarius Avenue,Jane,Barton,26,Daughter,Single,Female,"Surveyor, planning and development",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
92,Sagittarius Avenue,George,Barton,23,Son,Single,Male,"Civil engineer, contracting",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
92,Sagittarius Avenue,Ellie,Barton,11,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
93,Sagittarius Avenue,Georgina,Collins,43,Head,Single,Female,Materials engineer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
93,Sagittarius Avenue,Clive,Freeman,45,Partner,Single,Male,Estate agent,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
93,Sagittarius Avenue,Emma,Collins,13,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
93,Sagittarius Avenue,Stephen,Collins,11,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
94,Sagittarius Avenue,William,Wilson,59,Head,Divorced,Male,Purchasing manager,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
95,Sagittarius Avenue,Beverley,Tyler,68,Head,Married,Female,Retired Chartered legal executive (England and Wales),Healthy,Christian,Adult,Retired,Non-disabled,Religious
95,Sagittarius Avenue,Jacob,Tyler,68,Husband,Married,Male,Retired Chartered certified accountant,Healthy,Christian,Adult,Retired,Non-disabled,Religious
95,Sagittarius Avenue,Owen,Tyler,38,Son,Single,Male,Dentist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
95,Sagittarius Avenue,John,Kaur-Tyler,32,Son,Widowed,Male,Land/geomatics surveyor,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
95,Sagittarius Avenue,Denis,Kaur-Tyler,28,Son,Divorced,Male,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
95,Sagittarius Avenue,Jeffrey,Kaur-Tyler,27,Son,Single,Male,Phytotherapist,Healthy,Christian,Adult,Employed,Non-disabled,Religious
96,Sagittarius Avenue,Chloe,Evans,63,Head,Married,Female,Contractor,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
96,Sagittarius Avenue,Dennis,Evans,70,Husband,Married,Male,Retired Dancer,Healthy,Catholic,Senior,Retired,Non-disabled,Religious
96,Sagittarius Avenue,Christopher,Evans,30,Son,Single,Male,"Civil engineer, consulting",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
96,Sagittarius Avenue,Oliver,Evans,12,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
97,Sagittarius Avenue,Leah,Harrison,36,Head,Single,Female,Associate Professor,Healthy,Christian,Adult,Employed,Non-disabled,Religious
97,Sagittarius Avenue,Guy,Russell,36,Partner,Single,Male,"Clinical scientist, histocompatibility and immunogenetics",Healthy,Christian,Adult,Employed,Non-disabled,Religious
97,Sagittarius Avenue,Gary,Harrison,17,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
97,Sagittarius Avenue,Beth,Harrison,17,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
98,Sagittarius Avenue,Tracey,Murphy,39,Head,Single,Female,Rural practice surveyor,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
98,Sagittarius Avenue,Gerald,Allen,44,Partner,Single,Male,Trading standards officer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
98,Sagittarius Avenue,Natalie,Murphy,17,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
99,Sagittarius Avenue,Callum,Lynch,44,Head,Single,Male,"Surveyor, building control",Healthy,Methodist,Adult,Employed,Non-disabled,Religious
99,Sagittarius Avenue,Julia,Lewis,42,Partner,Single,Female,Land,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
99,Sagittarius Avenue,Graeme,Lynch,26,Son,Single,Male,Naval architect,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
99,Sagittarius Avenue,Stewart,Lynch,13,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
100,Sagittarius Avenue,Kim,Bolton,37,Head,Divorced,Female,Unemployed,Healthy,Christian,Adult,Unemployed,Non-disabled,Religious
100,Sagittarius Avenue,Charlene,Blackburn-Bolton,9,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
100,Sagittarius Avenue,Jason,Blackburn-Bolton,8,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
100,Sagittarius Avenue,Graeme,Blackburn-Bolton,4,Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
101,Sagittarius Avenue,Marie,James,84,Head,Single,Female,"Retired Sales professional, IT",Healthy,No Religion,Senior,Retired,Non-disabled,Non-religious
102,Sagittarius Avenue,Charlie,Peacock,43,Head,Single,Male,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
103,Sagittarius Avenue,Lauren,Potter,37,Head,Divorced,Female,Unemployed,Healthy,Catholic,Adult,Unemployed,Non-disabled,Religious
103,Sagittarius Avenue,Harry,Potter,12,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
103,Sagittarius Avenue,Valerie,Mitchell-Potter,9,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
103,Sagittarius Avenue,Joshua,Mitchell-Potter,2,Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
